date,open,high,low,close,adj_close,volume,hub,ticker,source
2025-02-21,47.650001525878906,48.224998474121094,46.10499954223633,47.19499969482422,47.19499969482422,326,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-24,46.1349983215332,47.2599983215332,45.11000061035156,47.14400100708008,47.14400100708008,194,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-25,45.435001373291016,45.834999084472656,43.75,44.29100036621094,44.29100036621094,102,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-26,41.33599853515625,41.33599853515625,41.33599853515625,41.33599853515625,41.33599853515625,158,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-27,44.375,44.93000030517578,44.375,44.93000030517578,44.93000030517578,406,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-28,46.5,46.54499816894531,44.11000061035156,44.31999969482422,44.31999969482422,245,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-03,46.95000076293945,47.22999954223633,44.529998779296875,45.2130012512207,45.2130012512207,335,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-04,45.314998626708984,45.314998626708984,42.5099983215332,43.4640007019043,43.4640007019043,977,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-05,43.48500061035156,43.904998779296875,40.849998474121094,41.507999420166016,41.507999420166016,10106,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-06,41.875,42.0,37.70500183105469,38.2400016784668,38.2400016784668,3480,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-07,37.32500076293945,41.5,37.20500183105469,39.97100067138672,39.97100067138672,5757,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-10,40.06999969482422,41.369998931884766,39.650001525878906,41.231998443603516,41.231998443603516,3636,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-11,41.404998779296875,43.560001373291016,40.8650016784668,42.709999084472656,42.709999084472656,4766,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-12,42.64500045776367,43.345001220703125,41.29499816894531,42.25400161743164,42.25400161743164,5496,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-13,42.45500183105469,43.625,40.54499816894531,42.07600021362305,42.07600021362305,491,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-14,41.29999923706055,42.89500045776367,41.14500045776367,42.290000915527344,42.290000915527344,12031,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-17,41.39500045776367,42.005001068115234,40.349998474121094,41.24800109863281,41.24800109863281,6506,TTF,TTF=F,Yahoo Finance (via yfinance)
