test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
FIN,fedavg,46,LTU|LVA-EST|TTF,3,5,0.001,,0.11336739462227255,0.06021864771499732,7.214225603188396,3.412077760404553
FIN,fedavg,47,LTU|LVA-EST|TTF,3,5,0.001,,0.11344551100120363,0.060496413295964134,7.218451566260962,3.427128008455038
FIN,fedavg,48,LTU|LVA-EST|TTF,3,5,0.001,,0.1133801701325436,0.06047682469190853,7.213436766299632,3.4275312959253785
FIN,fedavg,49,LTU|LVA-EST|TTF,3,5,0.001,,0.11296098059359949,0.0598735953063969,7.185688522579871,3.3873141344045767
FIN,fedavg,50,LTU|LVA-EST|TTF,3,5,0.001,,0.11334374957894276,0.06038190487316601,7.21160218909208,3.421064998067658
FIN,fedavg,51,LTU|LVA-EST|TTF,3,5,0.001,,0.11343320366816355,0.060304722088842716,7.227137317238892,3.4248626155380544
FIN,fedavg,52,LTU|LVA-EST|TTF,3,5,0.001,,0.11310634845557468,0.0599688396388705,7.198984444956976,3.3987483102144878
FIN,fedavg,53,LTU|LVA-EST|TTF,3,5,0.001,,0.11325063090565643,0.060256078982312264,7.207585866052495,3.4173429933272557
FIN,fedavg,54,LTU|LVA-EST|TTF,3,5,0.001,,0.1135023022149212,0.06051984228894259,7.223393910551462,3.4329965305873027
FIN,fedavg,55,LTU|LVA-EST|TTF,3,5,0.001,,0.1133069680314238,0.0602889926005195,7.207653784925768,3.413965491271224
FIN,fedavg,56,LTU|LVA-EST|TTF,3,5,0.001,,0.11329694008426619,0.060181360228633476,7.210024879570806,3.410403841287925
FIN,fedavg,57,LTU|LVA-EST|TTF,3,5,0.001,,0.11336455635045135,0.06034017243705578,7.210653452064953,3.4181856231042023
FIN,fedavg,58,LTU|LVA-EST|TTF,3,5,0.001,,0.11334207812503123,0.06050290262320577,7.207607003846657,3.425705704360172
FIN,fedavg,59,LTU|LVA-EST|TTF,3,5,0.001,,0.11335238153539834,0.060278546180002036,7.2156754757724695,3.4181109278068456
FIN,fedavg,60,LTU|LVA-EST|TTF,3,5,0.001,,0.11331147039276505,0.06037608063870094,7.208524584778721,3.4205735800790373
