hub,date,features_file,symbol,n_agents,n_type_NoiseAgent,n_type_ValueAgent,n_type_MomentumAgent,mid_mean,mid_std,mid_min,mid_max,mid_median,spread_mean,spread_std,spread_min,spread_max,spread_median,fills_total,fills_mean_per_agent,vol_total,vol_mean_per_agent,vwap_proxy,price,target_next_price,target_next_date,log_ret_next
NBP,2021-01-06,data/simulated_trades_long/agent_features_NBP_2021-01-06.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.176000118255615,7.86899995803833,2021-01-07,0.09218884298450036
NBP,2021-01-07,data/simulated_trades_long/agent_features_NBP_2021-01-07.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.86899995803833,8.25100040435791,2021-01-08,0.04740346990902733
NBP,2021-01-08,data/simulated_trades_long/agent_features_NBP_2021-01-08.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,8.25100040435791,8.949000358581543,2021-01-11,0.08120738014082951
NBP,2021-01-11,data/simulated_trades_long/agent_features_NBP_2021-01-11.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,8.949000358581543,10.54800033569336,2021-01-12,0.1643944660461747
NBP,2021-01-12,data/simulated_trades_long/agent_features_NBP_2021-01-12.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,10.54800033569336,8.887999534606934,2021-01-13,-0.17123430034097753
NBP,2021-01-13,data/simulated_trades_long/agent_features_NBP_2021-01-13.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,8.887999534606934,8.640000343322754,2021-01-14,-0.028299377422978278
NBP,2021-01-14,data/simulated_trades_long/agent_features_NBP_2021-01-14.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,8.640000343322754,8.062000274658203,2021-01-15,-0.06924092378917335
NBP,2021-01-15,data/simulated_trades_long/agent_features_NBP_2021-01-15.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,8.062000274658203,7.868000030517578,2021-01-19,-0.02435779435771135
NBP,2021-01-19,data/simulated_trades_long/agent_features_NBP_2021-01-19.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.868000030517578,7.831999778747559,2021-01-20,-0.004586027427100348
NBP,2021-01-20,data/simulated_trades_long/agent_features_NBP_2021-01-20.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.831999778747559,7.765999794006348,2021-01-21,-0.008462672193997545
NBP,2021-01-21,data/simulated_trades_long/agent_features_NBP_2021-01-21.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.765999794006348,8.223999977111816,2021-01-22,0.057301501145302414
NBP,2021-01-22,data/simulated_trades_long/agent_features_NBP_2021-01-22.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,8.223999977111816,7.73199987411499,2021-01-25,-0.06168916086466991
NBP,2021-01-25,data/simulated_trades_long/agent_features_NBP_2021-01-25.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.73199987411499,7.435999870300293,2021-01-26,-0.03903449264797931
NBP,2021-01-26,data/simulated_trades_long/agent_features_NBP_2021-01-26.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.435999870300293,7.413000106811523,2021-01-27,-0.003097822333804068
NBP,2021-01-27,data/simulated_trades_long/agent_features_NBP_2021-01-27.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.413000106811523,7.557000160217285,2021-01-28,0.01923907715649875
NBP,2021-01-28,data/simulated_trades_long/agent_features_NBP_2021-01-28.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.557000160217285,7.300000190734863,2021-01-29,-0.034599932957349866
NBP,2021-01-29,data/simulated_trades_long/agent_features_NBP_2021-01-29.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.300000190734863,6.5920000076293945,2021-02-01,-0.10201758051786625
NBP,2021-02-01,data/simulated_trades_long/agent_features_NBP_2021-02-01.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.5920000076293945,6.630000114440918,2021-02-02,0.005748027694302271
NBP,2021-02-02,data/simulated_trades_long/agent_features_NBP_2021-02-02.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.630000114440918,6.447000026702881,2021-02-03,-0.02798991098845338
