date,mid_mean,mid_std,mid_p10,mid_p90,spread_mean,spread_std,vol_mean,vol_sum,n_agents_with_quotes,n_agents_total,quote_coverage,price,y_next_day,y_synth
1997-03-04,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.87,1.92,7.016099237273818
1997-03-05,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.92,1.82,7.017025851107605
1997-03-06,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.82,1.89,7.015024852078623
1997-03-07,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.89,1.95,7.002938212322684
1997-03-10,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.95,1.92,7.0119149226262385
1997-03-11,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.92,1.96,7.010760167486978
1997-03-12,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.96,1.98,7.011780195362861
1997-03-13,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.98,1.97,7.018307597175053
1997-03-14,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.97,2.01,7.011829264883318
1997-03-17,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.01,1.91,7.01638244502629
1997-03-18,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.91,1.88,7.0102691000904604
1997-03-19,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.88,1.88,7.0124845033824705
1997-03-20,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.88,1.87,7.015906191653957
1997-03-21,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.87,1.8,6.995021751197014
1997-03-24,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.8,1.85,7.006396597231998
1997-03-25,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.85,1.85,7.004889582852643
1997-03-26,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.85,1.84,7.003204530913138
1997-03-27,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.84,1.84,7.006841886883304
1997-03-31,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.84,1.95,7.024542722507915
1997-04-01,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.95,1.85,7.000934998238638
1997-04-02,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.85,1.87,7.019276092941486
