date,price,hub
2024-10-11,12.991999626159668,NBP
2024-10-14,13.168999671936035,NBP
2024-10-15,12.937000274658203,NBP
2024-10-16,12.69499969482422,NBP
2024-10-17,12.8149995803833,NBP
2024-10-18,12.77400016784668,NBP
2024-10-21,13.017999649047852,NBP
2024-10-22,13.220999717712402,NBP
2024-10-23,13.423999786376951,NBP
2024-10-24,13.78600025177002,NBP
2024-10-25,14.307000160217283,NBP
2024-10-28,13.890999794006348,NBP
2024-10-29,13.9350004196167,NBP
2024-10-30,13.607999801635742,NBP
2024-10-31,13.309000015258787,NBP
2024-11-01,12.857999801635742,NBP
2024-11-04,13.29699993133545,NBP
2024-11-05,13.35099983215332,NBP
2024-11-06,13.125,NBP
2024-11-07,13.55799961090088,NBP
2024-11-08,13.89900016784668,NBP
2024-11-11,14.230999946594238,NBP
2024-11-12,14.347000122070312,NBP
2024-11-13,14.093999862670898,NBP
2024-11-14,14.82900047302246,NBP
2024-11-15,14.835000038146973,NBP
2024-11-18,15.0,NBP
2024-11-19,14.529000282287598,NBP
2024-11-20,14.824000358581545,NBP
2024-11-21,15.256999969482422,NBP
2024-11-22,14.654000282287598,NBP
2024-11-25,15.00100040435791,NBP
2024-11-26,14.859000205993652,NBP
2024-11-27,15.112000465393066,NBP
2024-11-29,15.1899995803833,NBP
2024-12-02,15.355999946594238,NBP
2024-12-03,15.390999794006348,NBP
2024-12-04,14.895000457763672,NBP
2024-12-05,14.793999671936035,NBP
2024-12-06,14.760000228881836,NBP
2024-12-09,14.260000228881836,NBP
2024-12-10,14.381999969482422,NBP
2024-12-11,14.04300022125244,NBP
2024-12-12,13.470999717712402,NBP
2024-12-13,12.989999771118164,NBP
2024-12-16,12.73900032043457,NBP
2024-12-17,13.253999710083008,NBP
2024-12-18,12.878999710083008,NBP
2024-12-19,13.463000297546388,NBP
2024-12-20,13.793999671936035,NBP
2024-12-23,14.281000137329102,NBP
2024-12-24,14.32900047302246,NBP
2024-12-26,14.293999671936035,NBP
2024-12-27,15.0600004196167,NBP
2024-12-30,14.984999656677246,NBP
2024-12-31,15.27299976348877,NBP
2025-01-02,15.484999656677246,NBP
2025-01-03,15.35200023651123,NBP
2025-01-06,14.741000175476074,NBP
2025-01-07,14.765000343322754,NBP
2025-01-08,14.06700038909912,NBP
2025-01-09,13.887999534606934,NBP
2025-01-10,13.822999954223633,NBP
2025-01-13,14.760000228881836,NBP
2025-01-14,14.467000007629396,NBP
2025-01-15,14.512999534606934,NBP
2025-01-16,14.236000061035156,NBP
2025-01-17,14.428999900817873,NBP
2025-01-21,15.56999969482422,NBP
2025-01-22,15.130000114440918,NBP
2025-01-23,15.217000007629396,NBP
2025-01-24,15.567999839782717,NBP
2025-01-27,14.984999656677246,NBP
2025-01-28,15.069000244140623,NBP
2025-01-29,15.984000205993652,NBP
2025-01-30,15.682000160217283,NBP
2025-01-31,15.682000160217283,NBP
2025-02-03,16.246999740600586,NBP
2025-02-04,15.798999786376951,NBP
2025-02-05,16.32900047302246,NBP
2025-02-06,16.534000396728516,NBP
2025-02-07,16.851999282836914,NBP
2025-02-10,17.49799919128418,NBP
2025-02-11,17.43600082397461,NBP
2025-02-12,16.7810001373291,NBP
2025-02-13,15.557000160217283,NBP
2025-02-14,15.423999786376951,NBP
2025-02-18,14.873000144958496,NBP
2025-02-19,14.473999977111816,NBP
2025-02-20,14.350000381469728,NBP
2025-02-21,14.196999549865724,NBP
2025-02-24,14.23799991607666,NBP
2025-02-25,13.40999984741211,NBP
2025-02-26,12.538999557495115,NBP
2025-02-27,13.52299976348877,NBP
2025-02-28,13.197999954223633,NBP
2025-03-03,13.605999946594238,NBP
2025-03-04,13.168999671936035,NBP
2025-03-05,12.87399959564209,NBP
2025-03-06,11.98900032043457,NBP
2025-03-07,12.626999855041504,NBP
2025-03-10,13.020999908447266,NBP
2025-03-11,13.618000030517578,NBP
2025-03-12,13.487000465393066,NBP
2025-03-13,13.343000411987305,NBP
2025-03-14,13.425999641418455,NBP
2025-03-17,13.104999542236328,NBP
2025-03-18,12.963000297546388,NBP
2025-03-19,13.772000312805176,NBP
2025-03-20,13.524999618530272,NBP
2025-03-21,13.425000190734863,NBP
2025-03-24,13.437000274658203,NBP
2025-03-25,13.048999786376951,NBP
2025-03-26,12.770000457763672,NBP
2025-03-27,12.861000061035156,NBP
2025-03-28,12.760000228881836,NBP
2025-03-31,12.619000434875488,NBP
2025-04-01,13.265000343322754,NBP
2025-04-02,12.876999855041504,NBP
2025-04-03,12.55799961090088,NBP
2025-04-04,11.484000205993652,NBP
2025-04-07,11.57800006866455,NBP
2025-04-08,11.322999954223633,NBP
2025-04-09,10.614999771118164,NBP
2025-04-10,10.652999877929688,NBP
2025-04-11,10.850000381469728,NBP
2025-04-14,11.256999969482422,NBP
2025-04-15,11.166000366210938,NBP
2025-04-16,11.517999649047852,NBP
2025-04-17,11.550999641418455,NBP
2025-04-21,11.684000015258787,NBP
2025-04-22,11.241000175476074,NBP
2025-04-23,11.098999977111816,NBP
2025-04-24,10.821000099182127,NBP
2025-04-25,10.45699977874756,NBP
2025-04-28,10.482000350952148,NBP
2025-04-29,10.32699966430664,NBP
2025-04-30,10.41100025177002,NBP
2025-05-01,10.27400016784668,NBP
2025-05-02,10.680999755859377,NBP
2025-05-05,10.668999671936035,NBP
2025-05-06,11.204999923706056,NBP
2025-05-07,11.104999542236328,NBP
2025-05-08,11.288999557495115,NBP
2025-05-09,11.003000259399414,NBP
2025-05-12,11.175000190734863,NBP
2025-05-13,11.288000106811523,NBP
2025-05-14,11.140999794006348,NBP
2025-05-15,11.220000267028809,NBP
2025-05-16,11.121999740600586,NBP
2025-05-19,11.267999649047852,NBP
2025-05-20,11.911999702453612,NBP
