date,fills_sum,fills_mean,vol_sum,vol_mean,mid_mean,mid_std,spread_mean,spread_std,n_agents_total,n_agents_with_quotes,quote_coverage,price,y_next_day,fills_sum_lag1,fills_sum_lag2,fills_sum_lag3,fills_mean_lag1,fills_mean_lag2,fills_mean_lag3,vol_sum_lag1,vol_sum_lag2,vol_sum_lag3,vol_mean_lag1,vol_mean_lag2,vol_mean_lag3,quote_coverage_lag1,quote_coverage_lag2,quote_coverage_lag3,price_lag1,price_lag2,price_lag3,mid_mean_lag1,mid_mean_lag2,mid_mean_lag3,mid_std_lag1,mid_std_lag2,mid_std_lag3,spread_mean_lag1,spread_mean_lag2,spread_mean_lag3,spread_std_lag1,spread_std_lag2,spread_std_lag3
2026-01-18,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376159668,0.00014526748971193415,0.0001012740658710441,1114,243,0.21813285457809695,37.151,36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,37.105,33.329,32.332,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376151445,0.0014332156376152926,0.0014332156376147594,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104409,0.00010127406587104411
2026-01-19,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376155591,0.00014526748971193415,0.00010127406587104405,1114,243,0.21813285457809695,36.85,35.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,37.151,37.105,33.329,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376159668,0.0014332156376151445,0.0014332156376152926,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.0001012740658710441,0.00010127406587104411,0.00010127406587104409
2026-01-20,0,0.0,0.0,0.0,9.998082304526749,0.001433215637614627,0.00014526748971193415,0.0001012740658710441,1114,243,0.21813285457809695,35.953,36.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,36.85,37.151,37.105,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376155591,0.0014332156376159668,0.0014332156376151445,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104405,0.0001012740658710441,0.00010127406587104411
2026-01-21,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376152495,0.00014526748971193415,0.00010127406587104406,1114,243,0.21813285457809695,36.957,38.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,35.953,36.85,37.151,9.998082304526749,9.998082304526749,9.998082304526749,0.001433215637614627,0.0014332156376155591,0.0014332156376159668,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.0001012740658710441,0.00010127406587104405,0.0001012740658710441
2026-01-22,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376150739,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,38.635,38.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,36.957,35.953,36.85,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376152495,0.001433215637614627,0.0014332156376155591,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104406,0.0001012740658710441,0.00010127406587104405
2026-01-23,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376147594,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,38.771,39.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,38.635,36.957,35.953,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376150739,0.0014332156376152495,0.001433215637614627,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104406,0.0001012740658710441
2026-01-24,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376152926,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,39.815,39.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,38.771,38.635,36.957,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376147594,0.0014332156376150739,0.0014332156376152495,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104411,0.00010127406587104406
2026-01-25,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376157307,0.00014526748971193415,0.00010127406587104406,1114,243,0.21813285457809695,39.871,41.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,39.815,38.771,38.635,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376152926,0.0014332156376147594,0.0014332156376150739,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104411,0.00010127406587104411
2026-01-26,0,0.0,0.0,0.0,9.998082304526749,0.001433215637614553,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,41.664,41.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,39.871,39.815,38.771,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376157307,0.0014332156376152926,0.0014332156376147594,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104406,0.00010127406587104409,0.00010127406587104411
2026-01-27,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376152905,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,41.045,39.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,41.664,39.871,39.815,9.998082304526749,9.998082304526749,9.998082304526749,0.001433215637614553,0.0014332156376157307,0.0014332156376152926,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104406,0.00010127406587104409
